SiteReference,SiteAddress,GeoX,GeoY,CoordinateSystem,Hectares,OrganisationName,OrganisationURI,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,Notes,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate
SA50a,"Annes Electronic Data Systems (EDS), Heyhouses Lane, St",333799,429376,OSGB36,7.2,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Permissioned,RM,25/12/2013,(cc) 13/0441862,162,162,21/12/2017
SA66,"The Gables, 35-39 Orchard Road, St Annes",332283,428630,OSGB36,0.13,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Permissioned,Full,20/03/2017,(aa)(16/063199),19,19,21/12/2017
SA67,"CMVU Depot, Heeley Road, St Annes",331719,429825,OSGB36,0.17,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Not permissioned,,,11/0667,5,5,21/12/2017
SA87,"Kingsway Garage, Kingsway, Lytham St Annes",334544,427634,OSGB36,0.1,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Pending permission,,,11/0667,30,30,21/12/2017
SA95,"259 Inner Promenade, Lytham St Annes",334400,427432,OSGB36,0.13,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Permissioned,Full,09/03/2017,(aa)(17/00170),7,7,21/12/2017
SA96,"Methodist Church Centre, Church Road, Lytham St",332953,429363,OSGB36,0.31,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Permissioned,Full,10/11/2017,(aa),9,9,21/12/2017
SA98,"Annes 34-36 Orchard Road, Lytham St Annes",332144,428650,OSGB36,0.08,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Permissioned,Out,18/06/2015,(aa) (15/011746),14,14,21/12/2017
LY64,"Jubilee House, East Beach, Lytham",337562,427139,OSGB36,1.08,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Permissioned,Full,24/10/2017,(aa) (17/074270),20,20,21/12/2017
SA108,"Westmoreland House, 29-31 Orchard Road, Lytham St.",332247,428700,OSGB36,0.19,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,owned by a public authority,Deliverable,Permissioned,Full,16/11/2016,(aa) (16/047205),25,25,21/12/2017
SA109,"Annes Petros House, St Andrew Road North, St. Annes",331967,429223,OSGB36,0.2,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Permissioned,Full,03/05/2016,(aa) (16/009345),35,35,21/12/2017
SA110,"The Gallaries, 2-4 Kingsway , Lytham",334413,427601,OSGB36,0.039,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Permissioned,Full,06/11/2015,(aa) (15/048160),10,10,21/12/2017
SA111,"St Leonards Bridge Garage, St Leonards Road East,",331871,429623,OSGB36,0.21,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Pending permission,,,,38,38,21/12/2017
SA112,"Lytham St Annes 37-39 St Andrews Road South, St.Annes",332406,428840,OSGB36,1,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Permissioned,,,,9,9,21/12/2017
WA08a,"Georges Garage, 45 Lytham Road, Warton",341694,428958,OSGB36,0.37,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Permissioned,,,,16,16,21/12/2017
WS06,"Pennine View, Weeton Road, Wesham",341234,433214,OSGB36,0.16,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Not permissioned,,,,12,12,21/12/2017
SA118,"314 Clifton Drive North, Lytham St Annes",331887,428818,OSGB36,0.08,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Permissioned,Full,05/10/2016,(aa) 16/05957,7,7,21/12/2017
ST15,"Thornfield Holiday Camp, Castle Lane, Staining",334802,436259,OSGB36,1.14,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Not permissioned,,,,28,28,21/12/2017
TR03,"Foundary Yard, Kirkham Road, Treales",343992,432836,OSGB36,0.32,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Permissioned,Full,05/10/2016,(aa) 16/02178,8,8,21/12/2017
WA10,"4 Lytham Road, Warton",342102,428817,OSGB36,0.645,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Not permissioned,,,,19,19,21/12/2017
WA15,"Former GEC Marconi Factory & adjacent land, Lytham",341830,428480,OSGB36,5.1,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Permissioned,Full,06/01/2016,(aa) 15/0701669,169,169,21/12/2017
WA40,"Road, Warton Oaklands Caravan Park, 252 Lytham Road, Warton",340581,428537,OSGB36,2.5,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Pending decision,,,,53,53,21/12/2017
